shrid2,state_name,district_name,land_area_sq_km,total_population,total_consumption,per_capita_consumption,poverty_rate,total_firms_count,total_employment,manufacturing_employment,services_employment,distance_to_town_km,commercial_bank_availability,cooperative_bank_availability,all_weather_road_access,commercial_power_supply,local_market_availability,subdistrict_name,village_name
11-17-297-01985-277436,Meghalaya,Ri Bhoi,2.4852216,233,90669.90625,12700.8427734375,0.579766511917114,9,24,0,14,,0,0,0,0,0,umling,paham birlum
11-17-297-01985-277437,Meghalaya,Ri Bhoi,1.5061128,324,77658.78125,15023.275390625,0.372023820877075,4,8,0,8,,0,0,0,0,0,umling,paham birthem
11-17-297-01985-277438,Meghalaya,Ri Bhoi,0.8167443,391,88667.921875,14439.5595703125,0.40966922044754,5,24,0,24,,0,0,0,0,0,umling,mawphrew
11-17-297-01985-277439,Meghalaya,Ri Bhoi,43.841114,123,63733.7578125,14105.0126953125,0.3360655605793,7,24,0,24,,0,0,0,0,0,umling,umsohma
11-17-297-01985-277441,Meghalaya,Ri Bhoi,0.68571925,301,50094.1484375,9661.0146484375,0.846428573131561,24,68,0,54,,0,0,0,0,0,umling,nongrabil
11-17-297-01985-277443,Meghalaya,Ri Bhoi,0.48341566,136,50366.4597120098,9917.72010361366,0.714285723030797,21,51,0,31,,0,0,1,0,0,umling,tagongbari
11-17-297-01985-277444,Meghalaya,Ri Bhoi,0.52317286,242,56575.2890625,12413.1435546875,0.582278490066528,59,173,0,173,,0,0,0,0,0,umling,nongspung b
11-17-297-01985-277445,Meghalaya,Ri Bhoi,1.0387193,183,50291.5669899425,9701.477482764,0.73170733914407,35,93,2,69,,0,0,0,0,0,umling,nongspung a
11-17-297-01985-277448,Meghalaya,Ri Bhoi,2.376929,304,59994.79296875,12433.1318359375,0.575657904148102,26,55,0,55,,0,0,0,0,0,umling,chibra
11-17-297-01985-277449,Meghalaya,Ri Bhoi,1.10343,842,75358.7578125,15288.87109375,0.374549806118012,86,175,7,168,,0,0,0,0,0,umling,umtyrnga
11-17-297-01985-277450,Meghalaya,Ri Bhoi,2.946568,412,,,,,,,,,0,0,0,0,0,umling,mawiong
11-17-297-01985-277451,Meghalaya,Ri Bhoi,2.8050587,204,55077.78515625,13405.1748046875,0.269841283559799,6,13,0,13,,0,0,0,0,0,umling,barapathar
11-17-297-01985-277452,Meghalaya,Ri Bhoi,1.3691875,881,129024.571982347,26722.8765887475,0.088537551939723,31,109,0,93,,0,0,0,0,0,umling,pillangkata a
11-17-297-01985-277455,Meghalaya,Ri Bhoi,1.3330096,1100,90175.7109375,19832.458984375,0.245131731033325,32,68,0,51,,0,0,0,0,0,umling,patharkushi
11-17-297-01985-277456,Meghalaya,Ri Bhoi,0.98270184,203,63835.37890625,11544.6962890625,0.624113500118256,3,50,44,6,,0,0,0,0,0,umling,hatimara
11-17-297-01985-277457,Meghalaya,Ri Bhoi,0.9308574,650,116940.796875,24094.373046875,0.191829487681389,64,292,41,91,,0,0,0,0,0,umling,maikhuli
11-17-297-01985-277458,Meghalaya,Ri Bhoi,1.2417849,34,149462.8125,25518.041015625,0.414634138345718,,,,,,0,0,0,0,0,umling,koinadhara
11-17-297-01985-277459,Meghalaya,Ri Bhoi,1.8532709,357,56969.01171875,10185.3681640625,0.669696986675263,17,70,7,20,,0,0,0,0,0,umling,lalmati
11-17-297-01985-277460,Meghalaya,Ri Bhoi,2.7038538,1646,99510.40625,21542.1484375,0.166775673627853,244,678,28,609,,1,0,0,1,1,umling,khanapara
11-17-297-01985-277463,Meghalaya,Ri Bhoi,0.54785174,1320,96326.046875,19418.513671875,0.204244032502174,41,90,0,85,,0,0,0,0,1,umling,baridua
11-17-297-01985-277465,Meghalaya,Ri Bhoi,0.6949994,131,56208.85078125,13115.3984277344,0.503333318829536,22,74,0,62,,0,0,0,0,0,umling,gambalbari a
11-17-297-01985-277468,Meghalaya,Ri Bhoi,0.8972256,1531,73249.703125,12268.169921875,0.498248070478439,73,492,246,246,,1,0,0,1,0,umling,mawsmai
11-17-297-01985-277469,Meghalaya,Ri Bhoi,1.1167152,554,73184.4375,13765.9794921875,0.443378120660782,8,19,0,19,,0,0,0,0,1,umling,nongthymmai garo
11-17-297-01985-277470,Meghalaya,Ri Bhoi,0.86357903,435,87191.6640625,17438.33203125,0.229508191347122,31,123,45,76,,0,0,0,0,0,umling,khasi killing
11-17-297-01985-277471,Meghalaya,Ri Bhoi,0.96978736,145,65729.6796875,11867.859375,0.527777791023254,2,3,0,3,,0,0,0,0,0,umling,umdem
11-17-297-01985-277472,Meghalaya,Ri Bhoi,0.48465398,190,70890.1328125,14030.337890625,0.401041656732559,7,17,0,17,,0,0,0,0,0,umling,umnowe
11-17-297-01985-277474,Meghalaya,Ri Bhoi,3.4080608,367,63541.08203125,12497,0.487534612417221,4,9,0,9,,0,0,0,0,0,umling,umduba
11-17-297-01985-277475,Meghalaya,Ri Bhoi,2.7724597,123,71485.0234375,12009.4833984375,0.53600001335144,7,8,0,8,,0,0,0,0,0,umling,chota killing
11-17-297-01985-277476,Meghalaya,Ri Bhoi,1.1245577,146,62857.0078125,12753.595703125,0.637681186199188,5,16,0,11,,0,0,0,0,0,umling,woksikathem chotte killing
11-17-297-01985-277477,Meghalaya,Ri Bhoi,1.5019029,387,63759.5234375,12751.904296875,0.58947366476059,29,72,6,62,,0,0,0,0,0,umling,bara killing
11-17-297-01985-277478,Meghalaya,Ri Bhoi,0.584749,341,85449.5625,16224.6005859375,0.320675104856491,42,120,5,115,,1,0,0,1,0,umling,jorabat
